window,threshold,precision,recall,fpr,tpr,auc,ap,acc,best_threshold
2,1,0.8358388454600121,0.16351017527349723,0.03136849362288866,0.16351017527349723,0.5660708408253043,0.5500022644684602,0.5707974889560568,1.0
2,2,0.9017094017094017,0.04964121868015527,0.005285533724003217,0.04964121868015527,0.5221778424780761,0.514362046597836,0.5277261102069286,1.0
2,3,0.9487179487179487,0.013057287377955534,0.0006894174422612892,0.013057287377955534,0.5061839349678471,0.500064967249511,0.511973959544292,1.0
4,1,0.7847985347985348,0.20162333843077285,0.05400436631046766,0.20162333843077285,0.5738094860601526,0.5527349793540381,0.5781794931411299,1.0
4,2,0.8841607565011821,0.08798964827667333,0.011260484890267724,0.08798964827667333,0.5383645816932028,0.5284480053772759,0.5436526389211811,1.0
4,3,0.9172749391727494,0.04434772379720033,0.003906698839480639,0.04434772379720033,0.5202205124788598,0.512894819424393,0.5258079516391537,1.0
8,1,0.74106463878327,0.2292671450417598,0.07824887969665632,0.2292671450417598,0.5755091326725518,0.550743438754376,0.5795745175540572,1.0
8,2,0.841688654353562,0.11257499117750853,0.020682523267838676,0.11257499117750853,0.5459462339548349,0.5332557666348527,0.5510346431062544,1.0
8,3,0.8681948424068768,0.07128573109045995,0.010571067448006434,0.07128573109045995,0.5303573318212268,0.520794809905793,0.5357475005812602,1.0
16,1,0.7242633684976355,0.2342077402658511,0.08709640353900953,0.2342077402658511,0.5735556683634208,0.5480284588996747,0.5775401069518716,1.0
16,2,0.8336120401337793,0.11728031996235737,0.02286567850166609,0.11728031996235737,0.5472073207303456,0.5339439198999426,0.5522552894675656,1.0
16,3,0.8563899868247694,0.07646159275379368,0.012524416867746755,0.07646159275379368,0.5319685879430235,0.5218283034898411,0.5373169030458033,1.0
